,Time,$N$,$E$,$D$,$\phi$,$\theta$,$\psi$,$u$,$v$,$w$,$p$,$q$,$r$,$\eta$,$\delta_r$,$\delta_s$,$\tilde{u}$,$\tilde{\chi}$,e,$\tilde{\upsilon}$,h,$u_c$,$v_c$,$w_c$
909,91.0,108.4088228420927,-16.75253405217527,29.60059515944287,-0.0010224863635852621,-0.7420635409745966,-1.5212795860616697,1.5000224393612915,0.02207931267867068,-0.05026114726404993,-0.04038553737358584,-0.026283413374460645,-0.04467457927038369,9.757911427401266,0.025600215763596834,0.0637426312614551,-6.075884810385901e-06,0.22054675139513005,14.358043126027603,0.2544829715115781,-9.380346338074466,-0.46283417255351555,0.3096115735359939,-0.2522825404982339
910,91.10000000000001,108.44650859068093,-16.847429620396483,29.648550842521267,-0.0009673805157053295,-0.7446964488521202,-1.5273369950312108,1.5000323886032334,0.021651543458842133,-0.05017240135546738,-0.039790080773768124,-0.025897357842945806,-0.0437775714047408,9.75774383978852,0.025054095501068494,0.06365960319752473,-1.1219680645768726e-05,0.2188890137322194,14.311293735290466,0.25395391886789437,-9.386050648557728,-0.46358948424849755,0.3076524955391375,-0.24906621470831425
911,91.2,108.483392659923,-16.942146867306928,29.696911598761762,-0.0009135514221809693,-0.7472904183809446,-1.5332873384451624,1.5000399351098384,0.021045980537930508,-0.05006005679280296,-0.03996387403663433,-0.02533436938731385,-0.041563674309132104,9.757570542367938,0.023111438943435578,0.06338214247969458,-1.619430161670099e-05,0.21689310405700124,14.264384021337932,0.25302899139491686,-9.391110263409187,-0.4646929632159528,0.30597713786380365,-0.2461165428249512
912,91.30000000000001,108.51947255169841,-17.036682047762763,29.745673543249207,-0.0010610107640514066,-0.7498276513173523,-1.5389504108616647,1.5000549276510078,0.02035752976774645,-0.049928751737102026,-0.03912816503753057,-0.024754059769796354,-0.03951980058484712,9.757422959410139,0.021688627675032594,0.06312985232984389,-1.996755491917579e-05,0.21496489187616286,14.217345052513227,0.252204500665823,-9.395580448116622,-0.46574373763839727,0.30431633909750727,-0.24321345600973948
913,91.4,108.55477463303687,-17.131033195186408,29.79483085067307,-0.0012958966744394118,-0.7523072489935902,-1.5443471274511413,1.5000767189632758,0.019642829500994913,-0.049788849050147896,-0.03722900926564604,-0.024197125921948295,-0.0377638207679325,9.757155389800209,0.02059085488125747,0.06290772858416435,-2.7463825503892814e-05,0.2130714496423681,14.170174423348337,0.2514004407020232,-9.399460941254322,-0.4666983044157913,0.3027505418466555,-0.24034172090610234
914,91.5,108.58941756483684,-17.2251434930385,29.844229374926762,-0.0014873611865575675,-0.7547318533536203,-1.5495151452012417,1.5001031655243036,0.018928226391643346,-0.04964839195618886,-0.03480534468131301,-0.02367348716882487,-0.03622224937706543,9.756769756517018,0.019685999709462478,0.06271322542073918,-3.835948163788405e-05,0.21125676295690407,14.12288545286474,0.2506090847879623,-9.402767999066912,-0.4689627574191962,0.3021503336151505,-0.23824355689677215
915,91.60000000000001,108.62337267563767,-17.319048881056197,29.893958193790372,-0.0015646019832407099,-0.7571045870067223,-1.5544827800783458,1.5001321077391636,0.01822548040460727,-0.04950946743356857,-0.03244031602815813,-0.023165004018414672,-0.03482256865283981,9.75629118086211,0.018894098510905392,0.06252324800985105,-5.158276215178059e-05,0.2098453805208474,14.07557288633144,0.2501822991703687,-9.405671203934457,-0.4702470162168509,0.30098819821885053,-0.23576793620344394
916,91.7,108.65673168841195,-17.412708409512515,29.94390291207469,-0.001521484516216809,-0.7594265329169665,-1.5592688226173124,1.5001625262974168,0.017544414762433097,-0.04937764468958688,-0.030491616467543437,-0.022708127092595648,-0.03354285269108201,9.755747276727949,0.01819720449242259,0.06238124421517556,-6.605386958180581e-05,0.20829230883282704,14.02819848594051,0.24954443984292118,-9.408091285013807,-0.47249381698006554,0.3004855653912571,-0.2339043669093118
917,91.80000000000001,108.68945685671504,-17.506162677954627,29.994162326872935,-0.0013895038133364679,-0.7617024464889881,-1.5638891801888017,1.5001925457696492,0.016890660538502116,-0.04925115045699462,-0.029090841491467817,-0.022266595677098808,-0.03234993394082149,9.755150764300115,0.017557648029121062,0.06223952497255275,-8.126314870837703e-05,0.2070379131515485,13.980833220682701,0.24918364758774963,-9.410155695636593,-0.47367355023691937,0.2993407439920815,-0.2316361429173345
918,91.9,108.72155379680676,-17.599423756034106,30.044760933228336,-0.0012163378772287459,-0.7639335989413798,-1.568355209679576,1.5002215570928443,0.01627074697172953,-0.04913251918487197,-0.028156375267950635,-0.021866738156268047,-0.031246822213266724,9.75452831863073,0.016981509352303654,0.06213491818324747,-9.627288482461083e-05,0.20560260387315346,13.933431145876153,0.24859590774864687,-9.411774206959752,-0.4745006980593126,0.29801681968542415,-0.22930877797902166
